category,subcategory,name,brand,imageUrl,isFlexible
Alimentos y bebidas,"Sopas, cremas y bases",SOPA DE CARACOLITOS TOTTUSX 76 GR,TOTTUS,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/42677987_1/w=500,h=500,format=jpg",false
Alimentos y bebidas,Postres y repostería,Cobertura de chocolate con leche 200 g,LA IBERICA,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/41286321_1/w=500,h=500,format=jpg",false
Alimentos y bebidas,"Vinagres, aderezos y condimentos",Orégano Entero 10 g,TOTTUS,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/40559398_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,Harinas,Harina de Maca Negra 200 g,,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/41680490_1/w=500,h=500,format=jpg",false
Alimentos y bebidas,"Vinagres, aderezos y condimentos",Paprika Molida 20 g,TOTTUS,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/40559401_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,Pastas y salsas,Pasta Trigo Tricolor Bolsa x 235 g,MOLITALIA,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/43205030_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,Aceites,Aceite de Oliva Carbonel Extra Virgen 1 L,CARBONELL,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/10172010_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,Postres y repostería,MEZCLA POLVO GELATINA FRESA BOLSA X 120G,UMSHA,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/42840505_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,"Vinagres, aderezos y condimentos",Nuez Moscada Molida 56.7 g,BADIA,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/10165086_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,"Vinagres, aderezos y condimentos",Aderezo Casero 1 kg,EL OLIVAR,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/40688062_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,"Arroz, Legumbres y Semillas",Arroz Extra Valle Norte 750 g,VALLENORTE,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/10472601_1/w=500,h=500,format=jpg",false
Alimentos y bebidas,"Arroz, Legumbres y Semillas",INFUSION HERB SURTIDO CAJA X 20UND,NATURES HEART,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/42848971_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,Postres y repostería,Fourpack Gelatina Sabor Pina Yopi 480 g,LAIVE,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/43276602_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,"Sopas, cremas y bases",Mezcla para Cebiche Caucau 60 g,PROVENZAL,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/10337860_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,Pastas y salsas,Salsa De Tomate x 145 gr,TOTTUS,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/43075960_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,"Vinagres, aderezos y condimentos",Tomillo Provenzal 14.2 g,BADIA,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/40593854_1/w=500,h=500,format=jpg",false
Alimentos y bebidas,Postres y repostería,Gelatina naranja 100 gr,TOTTUS,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/42623349_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,Conservas,Garbanzos x 340 g,CASA VERDE,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/43399921_1/w=500,h=500,format=jpg",true
